-1.945331158671518290e-01,-1.835269240950226088e-01
-3.104433495484550387e-01,-3.218905866468511623e-01
-6.814457018581568937e-01,-6.904616090640848247e-01
-2.233371268795121545e-01,-2.283620702685308368e-01
-6.580255315057891019e-02,-7.481111264322302945e-02
-6.248794914410394918e-01,-6.180422128492961686e-01
-1.164452086557111743e-01,-1.152163064005246873e-01
-3.393250745367999421e-01,-3.299673801942092366e-01
-2.660364061726716578e-01,-2.633575253764114943e-01
1.801481187821285246e-01,1.748445641147466645e-01
